380.0	223.0	1
394.0	202.0	1
419.0	198.0	1
447.0	215.0	1
426.0	226.0	1
669.0	214.0	3
576.0	302.0	2
575.0	285.0	2
548.0	310.0	2
570.0	317.0	2
593.0	301.0	2
584.0	267.0	2
558.0	273.0	2
546.0	282.0	2
589.0	312.0	2
588.0	291.0	2
603.0	290.0	2
678.0	196.0	3
712.0	190.0	3
734.0	248.0	3
703.0	247.0	3
677.0	252.0	3
685.0	224.0	3
718.0	216.0	3
706.0	229.0	3
405.0	219.0	1
446.0	233.0	1
663.0	226.0	3
512.0	204.0	1
469.0	186.0	1
493.0	156.0	1
497.0	201.0	1
566.0	276.0	2
594.0	281.0	2
559.0	291.0	2
465.0	238.0	1
473.0	222.0	1
653.0	234.0	3
637.0	212.0	3
492.0	236.0	1
482.0	199.0	1
468.0	166.0	1
446.0	171.0	1
445.0	186.0	1
464.0	205.0	1
431.0	254.0	1
690.0	179.0	3
698.0	205.0	3
649.0	180.0	3
658.0	195.0	3
656.0	210.0	3
506.0	217.0	1
510.0	184.0	1
490.0	179.0	1
675.0	243.0	3
693.0	261.0	3
713.0	263.0	3
727.0	235.0	3
693.0	240.0	3
