==input1.txt,k=2==

380	223
394	202
419	198
447	215
426	226
669	214
690	179
698	205
678	196
712	190
734	248
703	247
677	252
685	224
718	216
706	229
405	219
446	233
492	236
482	199
468	166
446	171
445	186
464	205
431	254
465	238
473	222
653	234
637	212
649	180
658	195
656	210
506	217
510	184
490	179
675	243
693	261
713	263
727	235
693	240
663	226
512	204
469	186
493	156
497	201

==input2.txt,k=2==

380	223
394	202
419	198
447	215
426	226
669	214
690	179
698	205
678	196
712	190
734	248
703	247
677	252
685	224
718	216
706	229
405	219
446	233
492	236
482	199
468	166
446	171
445	186
464	205
431	254
465	238
473	222
653	234
637	212
649	180
658	195
656	210
506	217
510	184
490	179
675	243
693	261
713	263
727	235
693	240
663	226
512	204
469	186
493	156
497	201
603	214
617	191
617	191
598	192
598	170
612	156
632	169
630	202
531	214
537	196
530	170
517	161
552	179
553	206
527	234
502	250
508	230
487	215
487	215
469	256
494	200
526	187
545	194
614	206
619	229
639	236
649	246
650	161
670	165
500	171
431	207
428	182
613	179
640	194
666	183
694	219
536	154
517	150
481	165

==input3.txt,k=3==

380	223
394	202
419	198
447	215
426	226
669	214
576	302
575	285
548	310
570	317
593	301
584	267
558	273
546	282
589	312
588	291
603	290
678	196
712	190
734	248
703	247
677	252
685	224
718	216
706	229
405	219
446	233
663	226
512	204
469	186
493	156
497	201
566	276
594	281
559	291
465	238
473	222
653	234
637	212
492	236
482	199
468	166
446	171
445	186
464	205
431	254
690	179
698	205
649	180
658	195
656	210
506	217
510	184
490	179
675	243
693	261
713	263
727	235
693	240

==input4.txt,k=4==

380	223
394	202
419	198
447	215
469	186
493	156
497	201
566	276
617	132
610	115
587	116
586	132
592	151
571	112
426	226
669	214
576	302
575	285
548	310
570	317
593	301
584	267
558	273
546	282
589	312
588	291
603	290
678	196
712	190
734	248
703	247
677	252
685	224
718	216
706	229
405	219
446	233
663	226
512	204
578	97
595	102
607	136
594	281
559	291
465	238
473	222
653	234
637	212
492	236
482	199
468	166
446	171
445	186
464	205
431	254
690	179
570	132
582	152
592	120
599	138
607	155
698	205
649	180
658	195
656	210
506	217
510	184
490	179
675	243
693	261
713	263
727	235
693	240
