380.0	223.0	1
394.0	202.0	1
419.0	198.0	1
447.0	215.0	1
426.0	226.0	1
669.0	214.0	2
690.0	179.0	2
698.0	205.0	2
678.0	196.0	2
712.0	190.0	2
734.0	248.0	2
703.0	247.0	2
677.0	252.0	2
685.0	224.0	2
718.0	216.0	2
706.0	229.0	2
405.0	219.0	1
446.0	233.0	1
492.0	236.0	1
482.0	199.0	1
468.0	166.0	1
446.0	171.0	1
445.0	186.0	1
464.0	205.0	1
431.0	254.0	1
465.0	238.0	1
473.0	222.0	1
653.0	234.0	2
637.0	212.0	2
649.0	180.0	2
658.0	195.0	2
656.0	210.0	2
506.0	217.0	1
510.0	184.0	1
490.0	179.0	1
675.0	243.0	2
693.0	261.0	2
713.0	263.0	2
727.0	235.0	2
693.0	240.0	2
663.0	226.0	2
512.0	204.0	1
469.0	186.0	1
493.0	156.0	1
497.0	201.0	1
